tau1,tau2,tau3,tau4,tau5,tau6
0.0,0.0,0.0,0.0,0.0,0.0
-0.06357112222162492,-2.268461288051604,1.3355697593998335,-0.04700226552877566,-0.8139653652077344,0.01596052266747077
-0.07026268871485211,-2.2533831709647236,1.3610808963362862,-0.036987123203766493,-0.8193564739110556,0.0003360489828373092
-0.06240801368461568,-2.2712687225335517,1.341600249908382,-0.022694531505688526,-0.7922726901607392,0.002005933942377115
-0.042394149727448524,-2.268535877547086,1.355709066625234,-0.031793529779390595,-0.7859983892247423,-0.00010495420457221983
-0.06531770068002525,-2.2790424171937063,1.3496848918184343,-0.03630898809895233,-0.8111838997635907,-0.004574759051543323
-0.07648270317006316,-2.2708522482036666,1.354594104878417,-0.01774013200627882,-0.7810804652787756,-0.00462949588333385
-0.04056657728955536,-2.2531883895415312,1.365284298201289,-0.049099643237051134,-0.7855485035656357,-0.0022861581105403754
-0.0690831770957509,-2.2514357092668473,1.3375962493108493,-0.031970357858628964,-0.8146812547292508,0.004176392141914564
-0.04868384056479476,-2.275451743784712,1.3670084037408488,-0.052002875295394976,-0.810843661688948,-0.002241371516678029
-0.07313616245683827,-2.260260021994715,1.3580111467116354,-0.04951816275696193,-0.7913502629672372,-0.014996524934436192
-0.04337718915194702,-2.2447710988181,1.377927982443525,-0.029396204695421323,-0.7796052069398902,0.008738760267154526
-0.06758630450084761,-2.233347009237994,1.3501586164975936,-0.01384268501744582,-0.7941750068830216,0.0034042254958970993
-0.061847246169278905,-2.254953586916985,1.3838496626439427,-0.04646233068499023,-0.7843769052082287,-0.005900253946524717
-0.04579345498506025,-2.2402020493933885,1.3937636859396092,-0.022298359791135296,-0.7872857561002445,-0.022697434679815727
-0.06650375127353149,-2.2657480827686065,1.3728365742490622,-0.025312912648903268,-0.7775142468713643,0.0112661583775535
-0.0638808850312274,-2.2457170789515115,1.3810461093936364,-0.039596615005281145,-0.7930961919005413,-0.004344694355563244
-0.059905564535751715,-2.233449228393194,1.3818651548763605,-0.03464622110712112,-0.7771093465969148,-0.021735733392365512
-0.056918599631028625,-2.2547072180607506,1.3838343757853606,-0.044487157252000406,-0.778644357441493,0.007355446850011298
-0.04665297402407305,-2.233138298621388,1.385229176706126,-0.0052326136711709735,-0.7892021611825454,-0.020088393390168317
-0.052550429871427884,-2.234685088750656,1.4227369643100514,-0.03307243714183844,-0.7838859938677633,-0.020547047486988983
-0.045809779120874784,-2.2352402621279586,1.400932336839618,-0.031475627737933325,-0.7769372172576088,-0.005574842339255029
-0.06718108619053854,-2.2121758143307377,1.4077795654018532,-0.011533233458501827,-0.7636875365017088,-0.021388538603970247
-0.05011572505135041,-2.229361626420567,1.429075367429715,-0.013818391398285175,-0.7753313085013565,-0.020401811885480712
-0.0368667011392845,-2.206126144267393,1.4404781600692231,-0.0009167938690677925,-0.75743448938378,-0.01125227109478684
-0.05847439149368068,-2.221717799605962,1.4569487538435402,-0.030962649765060888,-0.7623313875597417,-0.02244164851987389
-0.06478758632931561,-2.224728973008872,1.4656656411666864,-0.022227293186215094,-0.7710184013396005,0.0158611465877779
-0.06429243781739938,-2.2056063736831164,1.475352930643512,-0.028427899922419682,-0.7642590625537626,-0.014751774127563936
-0.0632238957975429,-2.190015390309961,1.4882924835280988,-0.005406382714025319,-0.7679202582982934,-0.003014206903731622
-0.07056557245399817,-2.1958519911458994,1.5069917441803244,-0.0075111478068064135,-0.7714093005482908,-0.013241001628621366
