q1,q2,q3,q4,q5,q6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.777462331508436952e-05,-1.259154110502812148e-05,3.777462331508436952e-05,3.777462331508436952e-05,3.777462331508436952e-05,3.777462331508436952e-05
1.510984932603374781e-04,-5.036616442011248592e-05,1.510984932603374781e-04,1.510984932603374781e-04,1.510984932603374781e-04,1.510984932603374781e-04
3.399716098357593121e-04,-1.133238699452531086e-04,3.399716098357593121e-04,3.399716098357593121e-04,3.399716098357593121e-04,3.399716098357593121e-04
6.043939730413499124e-04,-2.014646576804499437e-04,6.043939730413499124e-04,6.043939730413499124e-04,6.043939730413499124e-04,6.043939730413499124e-04
9.443655828771090619e-04,-3.147885276257029845e-04,9.443655828771090619e-04,9.443655828771090619e-04,9.443655828771090619e-04,9.443655828771090619e-04
1.359886439343037249e-03,-4.532954797810124343e-04,1.359886439343037249e-03,1.359886439343037249e-03,1.359886439343037249e-03,1.359886439343037249e-03
1.850956542439134147e-03,-6.169855141463779407e-04,1.850956542439134147e-03,1.850956542439134147e-03,1.850956542439134147e-03,1.850956542439134147e-03
2.417575892165399649e-03,-8.058586307217997747e-04,2.417575892165399649e-03,2.417575892165399649e-03,2.417575892165399649e-03,2.417575892165399649e-03
3.059744488521833321e-03,-1.019914829507277774e-03,3.059744488521833321e-03,3.059744488521833321e-03,3.059744488521833321e-03,3.059744488521833321e-03
3.777462331508436248e-03,-1.259154110502811938e-03,3.777462331508436248e-03,3.777462331508436248e-03,3.777462331508436248e-03,3.777462331508436248e-03
4.570729421125208428e-03,-1.523576473708402809e-03,4.570729421125208428e-03,4.570729421125208428e-03,4.570729421125208428e-03,4.570729421125208428e-03
5.439545757372148994e-03,-1.813181919124049737e-03,5.439545757372148994e-03,5.439545757372148994e-03,5.439545757372148994e-03,5.439545757372148994e-03
6.383911340249259249e-03,-2.127970446749752938e-03,6.383911340249259249e-03,6.383911340249259249e-03,6.383911340249259249e-03,6.383911340249259249e-03
7.403826169756536589e-03,-2.467942056585511763e-03,7.403826169756536589e-03,7.403826169756536589e-03,7.403826169756536589e-03,7.403826169756536589e-03
8.499290245893981882e-03,-2.833096748631327294e-03,8.499290245893981882e-03,8.499290245893981882e-03,8.499290245893981882e-03,8.499290245893981882e-03
9.670303568661598598e-03,-3.223434522887199099e-03,9.670303568661598598e-03,9.670303568661598598e-03,9.670303568661598598e-03,9.670303568661598598e-03
1.091686613805938240e-02,-3.638955379353127177e-03,1.091686613805938240e-02,1.091686613805938240e-02,1.091686613805938240e-02,1.091686613805938240e-02
1.223897795408733329e-02,-4.079659318029111095e-03,1.223897795408733329e-02,1.223897795408733329e-02,1.223897795408733329e-02,1.223897795408733329e-02
1.363663901674545646e-02,-4.545546338915151287e-03,1.363663901674545646e-02,1.363663901674545646e-02,1.363663901674545646e-02,1.363663901674545646e-02
1.510984932603374499e-02,-5.036616442011247752e-03,1.510984932603374499e-02,1.510984932603374499e-02,1.510984932603374499e-02,1.510984932603374499e-02
