q1,q2,q3,q4,q5,q6
-3.000000000000000000e+00,-2.000000000000000000e+00,-2.500000000000000000e+00,-3.000000000000000000e+00,-2.000000000000000000e+00,-3.000000000000000000e+00
-2.999990995498311719e+00,-1.999993996998874701e+00,-2.499992496248593099e+00,-2.999990995498311719e+00,-1.999993996998874701e+00,-2.999990995498311719e+00
-2.999963981993247764e+00,-1.999975987995498583e+00,-2.499969984994373284e+00,-2.999963981993247764e+00,-1.999975987995498583e+00,-2.999963981993247764e+00
-2.999918959484807246e+00,-1.999945972989871645e+00,-2.499932466237339668e+00,-2.999918959484807246e+00,-1.999945972989871645e+00,-2.999918959484807246e+00
-2.999855927972991054e+00,-1.999903951981993888e+00,-2.499879939977492693e+00,-2.999855927972991054e+00,-1.999903951981993888e+00,-2.999855927972991054e+00
-2.999774887457798300e+00,-1.999849924971865534e+00,-2.499812406214831917e+00,-2.999774887457798300e+00,-1.999849924971865534e+00,-2.999774887457798300e+00
-2.999675837939229872e+00,-1.999783891959486581e+00,-2.499729864949358227e+00,-2.999675837939229872e+00,-1.999783891959486581e+00,-2.999675837939229872e+00
-2.999558779417284882e+00,-1.999705852944856588e+00,-2.499632316181070735e+00,-2.999558779417284882e+00,-1.999705852944856588e+00,-2.999558779417284882e+00
-2.999423711891963773e+00,-1.999615807927975997e+00,-2.499519759909969885e+00,-2.999423711891963773e+00,-1.999615807927975997e+00,-2.999423711891963773e+00
-2.999270635363266990e+00,-1.999513756908844586e+00,-2.499392196136055677e+00,-2.999270635363266990e+00,-1.999513756908844586e+00,-2.999270635363266990e+00
-2.999099549831193645e+00,-1.999399699887462578e+00,-2.499249624859328112e+00,-2.999099549831193645e+00,-1.999399699887462578e+00,-2.999099549831193645e+00
-2.998910455295744626e+00,-1.999273636863829529e+00,-2.499092046079787188e+00,-2.998910455295744626e+00,-1.999273636863829529e+00,-2.998910455295744626e+00
-2.998703351756919044e+00,-1.999135567837945882e+00,-2.498919459797432463e+00,-2.998703351756919044e+00,-1.999135567837945882e+00,-2.998703351756919044e+00
-2.998478239214717345e+00,-1.998985492809811637e+00,-2.498731866012264380e+00,-2.998478239214717345e+00,-1.998985492809811637e+00,-2.998478239214717345e+00
-2.998235117669139527e+00,-1.998823411779426573e+00,-2.498529264724282939e+00,-2.998235117669139527e+00,-1.998823411779426573e+00,-2.998235117669139527e+00
-2.997973987120186035e+00,-1.998649324746790690e+00,-2.498311655933488140e+00,-2.997973987120186035e+00,-1.998649324746790690e+00,-2.997973987120186035e+00
-2.997694847567855980e+00,-1.998463231711903987e+00,-2.498079039639879984e+00,-2.997694847567855980e+00,-1.998463231711903987e+00,-2.997694847567855980e+00
-2.997397699012149808e+00,-1.998265132674766686e+00,-2.497831415843458025e+00,-2.997397699012149808e+00,-1.998265132674766686e+00,-2.997397699012149808e+00
-2.997082541453067517e+00,-1.998055027635378567e+00,-2.497568784544223153e+00,-2.997082541453067517e+00,-1.998055027635378567e+00,-2.997082541453067517e+00
-2.996749374890609552e+00,-1.997832916593739627e+00,-2.497291145742174479e+00,-2.996749374890609552e+00,-1.997832916593739627e+00,-2.996749374890609552e+00
-2.996398199324775025e+00,-1.997598799549849868e+00,-2.496998499437312447e+00,-2.996398199324775025e+00,-1.997598799549849868e+00,-2.996398199324775025e+00
-2.996029014755564379e+00,-1.997352676503709512e+00,-2.496690845629637057e+00,-2.996029014755564379e+00,-1.997352676503709512e+00,-2.996029014755564379e+00
-2.995641821182977615e+00,-1.997094547455318336e+00,-2.496368184319147865e+00,-2.995641821182977615e+00,-1.997094547455318336e+00,-2.995641821182977615e+00
-2.995236618607014734e+00,-1.996824412404676563e+00,-2.496030515505845759e+00,-2.995236618607014734e+00,-1.996824412404676563e+00,-2.995236618607014734e+00
-2.994813407027675733e+00,-1.996542271351783970e+00,-2.495677839189729852e+00,-2.994813407027675733e+00,-1.996542271351783970e+00,-2.994813407027675733e+00
-2.994372186444960615e+00,-1.996248124296640558e+00,-2.495310155370800587e+00,-2.994372186444960615e+00,-1.996248124296640558e+00,-2.994372186444960615e+00
-2.993912956858869823e+00,-1.995941971239246326e+00,-2.494927464049057964e+00,-2.993912956858869823e+00,-1.995941971239246326e+00,-2.993912956858869823e+00
-2.993435718269402468e+00,-1.995623812179601497e+00,-2.494529765224501983e+00,-2.993435718269402468e+00,-1.995623812179601497e+00,-2.993435718269402468e+00
-2.992940470676558995e+00,-1.995293647117705849e+00,-2.494117058897132200e+00,-2.992940470676558995e+00,-1.995293647117705849e+00,-2.992940470676558995e+00
-2.992427214080339404e+00,-1.994951476053559603e+00,-2.493689345066949503e+00,-2.992427214080339404e+00,-1.994951476053559603e+00,-2.992427214080339404e+00
-2.991895948480743694e+00,-1.994597298987162315e+00,-2.493246623733953005e+00,-2.991895948480743694e+00,-1.994597298987162315e+00,-2.991895948480743694e+00
-2.991346673877771867e+00,-1.994231115918514430e+00,-2.492788894898143148e+00,-2.991346673877771867e+00,-1.994231115918514430e+00,-2.991346673877771867e+00
-2.990779390271423921e+00,-1.993852926847615947e+00,-2.492316158559519934e+00,-2.990779390271423921e+00,-1.993852926847615947e+00,-2.990779390271423921e+00
-2.990194097661699857e+00,-1.993462731774466423e+00,-2.491828414718082918e+00,-2.990194097661699857e+00,-1.993462731774466423e+00,-2.990194097661699857e+00
-2.989590796048599675e+00,-1.993060530699066302e+00,-2.491325663373832988e+00,-2.989590796048599675e+00,-1.993060530699066302e+00,-2.989590796048599675e+00
-2.988969485432123374e+00,-1.992646323621415583e+00,-2.490807904526769256e+00,-2.988969485432123374e+00,-1.992646323621415583e+00,-2.988969485432123374e+00
-2.988330165812270955e+00,-1.992220110541513822e+00,-2.490275138176892167e+00,-2.988330165812270955e+00,-1.992220110541513822e+00,-2.988330165812270955e+00
-2.987672837189042419e+00,-1.991781891459361464e+00,-2.489727364324201719e+00,-2.987672837189042419e+00,-1.991781891459361464e+00,-2.987672837189042419e+00
-2.986997499562437319e+00,-1.991331666374958287e+00,-2.489164582968697914e+00,-2.986997499562437319e+00,-1.991331666374958287e+00,-2.986997499562437319e+00
-2.986304152932456546e+00,-1.990869435288304512e+00,-2.488586794110380751e+00,-2.986304152932456546e+00,-1.990869435288304512e+00,-2.986304152932456546e+00
-2.985592797299099654e+00,-1.990395198199399918e+00,-2.487993997749249786e+00,-2.985592797299099654e+00,-1.990395198199399918e+00,-2.985592797299099654e+00
-2.984863432662366645e+00,-1.989908955108244504e+00,-2.487386193885305463e+00,-2.984863432662366645e+00,-1.989908955108244504e+00,-2.984863432662366645e+00
-2.984116059022257517e+00,-1.989410706014838270e+00,-2.486763382518547782e+00,-2.984116059022257517e+00,-1.989410706014838270e+00,-2.984116059022257517e+00
-2.983350676378772270e+00,-1.988900450919181440e+00,-2.486125563648976744e+00,-2.983350676378772270e+00,-1.988900450919181440e+00,-2.983350676378772270e+00
-2.982567284731910462e+00,-1.988378189821273789e+00,-2.485472737276592348e+00,-2.982567284731910462e+00,-1.988378189821273789e+00,-2.982567284731910462e+00
-2.981765884081672979e+00,-1.987843922721115320e+00,-2.484804903401394149e+00,-2.981765884081672979e+00,-1.987843922721115320e+00,-2.981765884081672979e+00
-2.980946474428059378e+00,-1.987297649618706252e+00,-2.484122062023383037e+00,-2.980946474428059378e+00,-1.987297649618706252e+00,-2.980946474428059378e+00
-2.980109055771069659e+00,-1.986739370514046366e+00,-2.483424213142558123e+00,-2.980109055771069659e+00,-1.986739370514046366e+00,-2.980109055771069659e+00
-2.979253628110703378e+00,-1.986169085407135659e+00,-2.482711356758919852e+00,-2.979253628110703378e+00,-1.986169085407135659e+00,-2.979253628110703378e+00
-2.978380191446961422e+00,-1.985586794297974356e+00,-2.481983492872467778e+00,-2.978380191446961422e+00,-1.985586794297974356e+00,-2.978380191446961422e+00
-2.977488745779843349e+00,-1.984992497186562233e+00,-2.481240621483202791e+00,-2.977488745779843349e+00,-1.984992497186562233e+00,-2.977488745779843349e+00
-2.976579291109349157e+00,-1.984386194072899290e+00,-2.480482742591124001e+00,-2.976579291109349157e+00,-1.984386194072899290e+00,-2.976579291109349157e+00
-2.975651827435478403e+00,-1.983767884956985750e+00,-2.479709856196232298e+00,-2.975651827435478403e+00,-1.983767884956985750e+00,-2.975651827435478403e+00
-2.974706354758231974e+00,-1.983137569838821390e+00,-2.478921962298526793e+00,-2.974706354758231974e+00,-1.983137569838821390e+00,-2.974706354758231974e+00
-2.973742873077609428e+00,-1.982495248718406211e+00,-2.478119060898007486e+00,-2.973742873077609428e+00,-1.982495248718406211e+00,-2.973742873077609428e+00
-2.972761382393610319e+00,-1.981840921595740213e+00,-2.477301151994675266e+00,-2.972761382393610319e+00,-1.981840921595740213e+00,-2.972761382393610319e+00
-2.971761882706235536e+00,-1.981174588470823617e+00,-2.476468235588529687e+00,-2.971761882706235536e+00,-1.981174588470823617e+00,-2.971761882706235536e+00
-2.970744374015484190e+00,-1.980496249343656201e+00,-2.475620311679570307e+00,-2.970744374015484190e+00,-1.980496249343656201e+00,-2.970744374015484190e+00
-2.969708856321357171e+00,-1.979805904214238188e+00,-2.474757380267797569e+00,-2.969708856321357171e+00,-1.979805904214238188e+00,-2.969708856321357171e+00
-2.968655329623854033e+00,-1.979103553082569134e+00,-2.473879441353211472e+00,-2.968655329623854033e+00,-1.979103553082569134e+00,-2.968655329623854033e+00
-2.967583793922974333e+00,-1.978389195948649482e+00,-2.472986494935812019e+00,-2.967583793922974333e+00,-1.978389195948649482e+00,-2.967583793922974333e+00
-2.966494249218718959e+00,-1.977662832812479232e+00,-2.472078541015599207e+00,-2.966494249218718959e+00,-1.977662832812479232e+00,-2.966494249218718959e+00
-2.965386695511087023e+00,-1.976924463674057941e+00,-2.471155579592572593e+00,-2.965386695511087023e+00,-1.976924463674057941e+00,-2.965386695511087023e+00
-2.964261132800079412e+00,-1.976174088533386275e+00,-2.470217610666732622e+00,-2.964261132800079412e+00,-1.976174088533386275e+00,-2.964261132800079412e+00
-2.963117561085695240e+00,-1.975411707390463567e+00,-2.469264634238079292e+00,-2.963117561085695240e+00,-1.975411707390463567e+00,-2.963117561085695240e+00
-2.961955980367935393e+00,-1.974637320245290040e+00,-2.468296650306612605e+00,-2.961955980367935393e+00,-1.974637320245290040e+00,-2.961955980367935393e+00
-2.960776390646798983e+00,-1.973850927097865915e+00,-2.467313658872332560e+00,-2.960776390646798983e+00,-1.973850927097865915e+00,-2.960776390646798983e+00
-2.959578791922286456e+00,-1.973052527948191193e+00,-2.466315659935238713e+00,-2.959578791922286456e+00,-1.973052527948191193e+00,-2.959578791922286456e+00
-2.958363184194398254e+00,-1.972242122796265429e+00,-2.465302653495331953e+00,-2.958363184194398254e+00,-1.972242122796265429e+00,-2.958363184194398254e+00
-2.957129567463133490e+00,-1.971419711642089068e+00,-2.464274639552611390e+00,-2.957129567463133490e+00,-1.971419711642089068e+00,-2.957129567463133490e+00
-2.955877941728493052e+00,-1.970585294485661887e+00,-2.463231618107077470e+00,-2.955877941728493052e+00,-1.970585294485661887e+00,-2.955877941728493052e+00
-2.954608306990476052e+00,-1.969738871326984109e+00,-2.462173589158730191e+00,-2.954608306990476052e+00,-1.969738871326984109e+00,-2.954608306990476052e+00
-2.953320663249082934e+00,-1.968880442166055289e+00,-2.461100552707569111e+00,-2.953320663249082934e+00,-1.968880442166055289e+00,-2.953320663249082934e+00
-2.952015010504314141e+00,-1.968010007002876094e+00,-2.460012508753595117e+00,-2.952015010504314141e+00,-1.968010007002876094e+00,-2.952015010504314141e+00
-2.950691348756168786e+00,-1.967127565837445857e+00,-2.458909457296807322e+00,-2.950691348756168786e+00,-1.967127565837445857e+00,-2.950691348756168786e+00
