q1,q2,q3,q4,q5,q6
-3.000000000000000000e+00,-2.000000000000000000e+00,-3.000000000000000000e+00,-2.500000000000000000e+00,-3.000000000000000000e+00,-2.000000000000000000e+00,-3.000000000000000000e+00
-2.999996251484177812e+00,-1.999997500989451948e+00,-2.999996251484177812e+00,-2.499996876236814991e+00,-2.999996251484177812e+00,-1.999997500989451948e+00,-2.999996251484177812e+00
-2.999985005936712135e+00,-1.999990003957808016e+00,-2.999985005936712135e+00,-2.499987504947259964e+00,-2.999985005936712135e+00,-1.999990003957808016e+00,-2.999985005936712135e+00
-2.999966263357601637e+00,-1.999977508905067980e+00,-2.999966263357601637e+00,-2.499971886131334919e+00,-2.999966263357601637e+00,-1.999977508905067980e+00,-2.999966263357601637e+00
-2.999940023746847650e+00,-1.999960015831231841e+00,-2.999940023746847650e+00,-2.499950019789039857e+00,-2.999940023746847650e+00,-1.999960015831231841e+00,-2.999940023746847650e+00
-2.999906287104449731e+00,-1.999937524736299821e+00,-2.999906287104449731e+00,-2.499921905920374776e+00,-2.999906287104449731e+00,-1.999937524736299821e+00,-2.999906287104449731e+00
-2.999865053430407436e+00,-1.999910035620271698e+00,-2.999865053430407436e+00,-2.499887544525339678e+00,-2.999865053430407436e+00,-1.999910035620271698e+00,-2.999865053430407436e+00
-2.999816322724721207e+00,-1.999877548483147471e+00,-2.999816322724721207e+00,-2.499846935603934117e+00,-2.999816322724721207e+00,-1.999877548483147471e+00,-2.999816322724721207e+00
-2.999760094987391046e+00,-1.999840063324927364e+00,-2.999760094987391046e+00,-2.499800079156158983e+00,-2.999760094987391046e+00,-1.999840063324927364e+00,-2.999760094987391046e+00
-2.999696370218416508e+00,-1.999797580145611153e+00,-2.999696370218416508e+00,-2.499746975182013831e+00,-2.999696370218416508e+00,-1.999797580145611153e+00,-2.999696370218416508e+00
-2.999625148417798481e+00,-1.999750098945198840e+00,-2.999625148417798481e+00,-2.499687623681498660e+00,-2.999625148417798481e+00,-1.999750098945198840e+00,-2.999625148417798481e+00
-2.999546429585536078e+00,-1.999697619723690645e+00,-2.999546429585536078e+00,-2.499622024654613472e+00,-2.999546429585536078e+00,-1.999697619723690645e+00,-2.999546429585536078e+00
-2.999460213721629742e+00,-1.999640142481086347e+00,-2.999460213721629742e+00,-2.499550178101357822e+00,-2.999460213721629742e+00,-1.999640142481086347e+00,-2.999460213721629742e+00
-2.999366500826079029e+00,-1.999577667217386168e+00,-2.999366500826079029e+00,-2.499472084021732599e+00,-2.999366500826079029e+00,-1.999577667217386168e+00,-2.999366500826079029e+00
